participant_id,version,is_approved,image_name,image_type,is_chart_simple,question,question_type,answer,is_answer_numerical,is_correct,number_of_clicks,total_duration
COCO_train2014_000000000009.png,1,True,000000000009.png,food,food,no question,U,1,True,True,86,12
COCO_train2014_000000000089.png,1,True,000000000089.png,kitchen,kitchen,no question,U,1,True,True,188,260
COCO_train2014_000000000110.png,1,True,000000000110.png,person,person,no question,U,1,True,True,180,109
COCO_train2014_000000000307.png,1,True,000000000307.png,animal,animal,no question,U,1,True,True,165,73
COCO_train2014_000000000321.png,1,True,000000000321.png,food,food,no question,Other,1,True,True,45,412
COCO_train2014_000000000332.png,1,True,000000000332.png,kitchen,kitchen,no question,U,1,True,True,39,359
COCO_train2014_000000000349.png,1,True,000000000349.png,furniture,furniture,no question,CL,1,True,True,35,402
COCO_train2014_000000000382.png,1,True,000000000382.png,person,person,no question,CP,1,True,True,69,310
COCO_train2014_000000000389.png,1,True,000000000389.png,person,person,no question,Other,1,True,True,91,102
COCO_train2014_000000000419.png,1,True,000000000419.png,vehicle,vehicle,no question,CL,1,True,True,76,108
COCO_train2014_000000000443.png,1,True,000000000443.png,person,person,no question,Other,1,True,True,38,489
COCO_train2014_000000000450.png,1,True,000000000450.png,kitchen,kitchen,no question,CP,1,True,True,65,146
COCO_train2014_000000000510.png,1,True,000000000510.png,person,person,no question,Other,1,True,True,153,458
COCO_train2014_000000000531.png,1,True,000000000531.png,person,person,no question,CP,1,True,True,94,269
COCO_train2014_000000000532.png,1,True,000000000532.png,person,person,no question,U,1,True,True,66,105
COCO_train2014_000000000605.png,1,True,000000000605.png,kitchen,kitchen,no question,CL,1,True,True,89,382
COCO_train2014_000000000716.png,1,True,000000000716.png,person,person,no question,U,1,True,True,85,127
COCO_train2014_000000000731.png,1,True,000000000731.png,vehicle,vehicle,no question,U,1,True,True,2,51
COCO_train2014_000000000853.png,1,True,000000000853.png,food,food,no question,CP,1,True,True,128,47
COCO_train2014_000000000965.png,1,True,000000000965.png,sports,sports,no question,CL,1,True,True,74,69
COCO_train2014_000000001011.png,1,True,000000001011.png,person,person,no question,CP,1,True,True,109,458
COCO_train2014_000000001014.png,1,True,000000001014.png,person,person,no question,CL,1,True,True,140,267
COCO_train2014_000000001144.png,1,True,000000001144.png,furniture,furniture,no question,Other,1,True,True,131,259
COCO_train2014_000000001145.png,1,True,000000001145.png,kitchen,kitchen,no question,Other,1,True,True,63,467
COCO_train2014_000000001261.png,1,True,000000001261.png,kitchen,kitchen,no question,CL,1,True,True,84,174
COCO_train2014_000000001264.png,1,True,000000001264.png,kitchen,kitchen,no question,CL,1,True,True,197,467
COCO_train2014_000000001355.png,1,True,000000001355.png,kitchen,kitchen,no question,U,1,True,True,107,342
COCO_train2014_000000001386.png,1,True,000000001386.png,kitchen,kitchen,no question,U,1,True,True,108,175
COCO_train2014_000000001403.png,1,True,000000001403.png,vehicle,vehicle,no question,CL,1,True,True,179,225
COCO_train2014_000000001424.png,1,True,000000001424.png,person,person,no question,Other,1,True,True,37,308
COCO_train2014_000000001510.png,1,True,000000001510.png,food,food,no question,U,1,True,True,25,66
COCO_train2014_000000001518.png,1,True,000000001518.png,vehicle,vehicle,no question,CP,1,True,True,60,35
COCO_train2014_000000001523.png,1,True,000000001523.png,outdoor,outdoor,no question,Other,1,True,True,167,146
COCO_train2014_000000001536.png,1,True,000000001536.png,food,food,no question,CP,1,True,True,85,269
COCO_train2014_000000001558.png,1,True,000000001558.png,kitchen,kitchen,no question,Other,1,True,True,99,1
COCO_train2014_000000001670.png,1,True,000000001670.png,person,person,no question,Other,1,True,True,131,342
COCO_train2014_000000001756.png,1,True,000000001756.png,person,person,no question,CP,1,True,True,109,261
COCO_train2014_000000001785.png,1,True,000000001785.png,person,person,no question,Other,1,True,True,183,146
