participant_id,version,is_approved,image_name,image_type,is_chart_simple,question,question_type,answer,is_answer_numerical,is_correct,number_of_clicks,total_duration
COCO_train2014_000000000009.png,113,True,000000000009.png,indoor,indoor,no question,CP,yes,False,False,9,9066
COCO_train2014_000000000089.png,113,True,000000000089.png,indoor,indoor,no question,RV,Chile,False,True,7,6600
COCO_train2014_000000000110.png,113,True,000000000110.png,animate,animate,no question,FE,10.78 (assuming the unlabeled lowest value is exactly 6 since it's right on the line for 6),True,True,6,14717
COCO_train2014_000000000307.png,113,True,000000000307.png,animate,animate,no question,F,2015,True,True,9,19051
COCO_train2014_000000000321.png,113,True,000000000321.png,indoor,indoor,no question,FE,"1,654",True,True,4,11284
COCO_train2014_000000000332.png,113,True,000000000332.png,indoor,indoor,no question,RV,~3.02,True,True,4,6534
COCO_train2014_000000000349.png,113,True,000000000349.png,indoor,indoor,no question,RV,5,True,True,12,9050
COCO_train2014_000000000382.png,113,True,000000000382.png,animate,animate,no question,RV,95,True,True,11,11684
COCO_train2014_000000000389.png,113,True,000000000389.png,animate,animate,no question,CP,no,False,True,8,5383
COCO_train2014_000000000419.png,113,True,000000000419.png,outdoor,outdoor,no question,RV,8,True,True,6,3967
COCO_train2014_000000000443.png,113,True,000000000443.png,animate,animate,no question,FE,2:3,True,True,4,8900
COCO_train2014_000000000450.png,113,True,000000000450.png,indoor,indoor,no question,RV,15,True,True,4,8850
COCO_train2014_000000000510.png,113,True,000000000510.png,animate,animate,no question,CP,yes,False,True,6,7384
COCO_train2014_000000000531.png,113,True,000000000531.png,animate,animate,no question,F,2014,True,True,14,11017
COCO_train2014_000000000532.png,113,True,000000000532.png,animate,animate,no question,RV,"~10.68 (kind of incoherent question, got this by adding both very and somewhat if that's what it's asking)",True,False,17,31034
COCO_train2014_000000000605.png,113,True,000000000605.png,indoor,indoor,no question,RV,14.66~,True,True,4,20401
COCO_train2014_000000000716.png,113,True,000000000716.png,animate,animate,no question,CP,yes,False,True,24,51035
COCO_train2014_000000000731.png,113,True,000000000731.png,outdoor,outdoor,no question,FE,86,True,True,21,18734
COCO_train2014_000000000853.png,113,True,000000000853.png,indoor,indoor,no question,FE,2014,True,True,30,60385
